Date,Product_Category,Customer_Type,Sales_Amount,Units_Sold
2024-04-12,Beauty,Returning,2837,12
2024-04-02,Furniture,Loyal,949,5
2024-01-15,Electronics,Returning,2209,2
2024-04-16,Beauty,New,102,16
2024-03-12,Electronics,Returning,4355,5
2024-01-21,Groceries,Returning,4169,15
2024-04-12,Electronics,New,4976,12
2024-05-01,Electronics,New,992,4
2024-03-15,Electronics,Loyal,2130,15
2024-03-28,Furniture,Loyal,3260,11
2024-04-26,Electronics,New,2476,16
2024-04-09,Beauty,New,4775,6
2024-04-13,Groceries,Loyal,2033,14
2024-05-31,Groceries,Returning,1480,18
2024-05-10,Electronics,New,3781,12
2024-05-29,Furniture,Loyal,1390,11
2024-02-22,Furniture,Returning,1740,13
2024-01-02,Beauty,New,2782,11
2024-03-28,Electronics,Returning,1087,16
2024-06-06,Groceries,Loyal,1318,15
2024-02-07,Furniture,New,1455,15
2024-05-09,Electronics,Returning,4365,4
2024-01-21,Furniture,New,4716,11
2024-06-09,Furniture,Returning,4235,19
2024-02-27,Groceries,Loyal,1660,15
2024-01-22,Clothing,Loyal,1518,4
2024-03-29,Beauty,New,1054,13
2024-02-18,Beauty,Returning,1083,19
2024-02-28,Groceries,New,1074,2
2024-01-15,Furniture,New,4233,14
2024-02-20,Electronics,Returning,4072,4
2024-04-17,Furniture,Returning,1013,16
2024-02-24,Groceries,Returning,4649,14
2024-03-04,Beauty,Loyal,136,15
2024-05-10,Furniture,New,3487,3
2024-02-20,Beauty,New,1811,8
2024-05-14,Electronics,Loyal,3120,16
2024-01-21,Beauty,Returning,895,10
2024-03-13,Beauty,Loyal,4136,4
2024-06-15,Clothing,Loyal,4788,18
2024-01-18,Clothing,Loyal,3211,2
2024-05-11,Clothing,New,1424,17
2024-03-29,Beauty,Loyal,417,13
2024-02-29,Groceries,New,2496,4
2024-01-14,Beauty,New,2262,11
2024-01-09,Groceries,New,2845,7
2024-03-30,Groceries,Returning,1691,12
2024-02-22,Clothing,New,3211,10
2024-05-09,Furniture,New,4030,7
2024-03-24,Electronics,Returning,2096,13
2024-04-01,Clothing,New,1412,7
2024-04-20,Clothing,Loyal,1385,17
2024-01-08,Furniture,Loyal,4411,10
2024-02-04,Electronics,New,2483,10
2024-03-21,Beauty,Returning,3339,4
2024-06-12,Beauty,Loyal,2239,4
2024-02-19,Clothing,Returning,1804,7
2024-04-13,Electronics,Returning,462,1
2024-05-11,Clothing,Loyal,2704,12
2024-01-02,Groceries,Returning,1816,13
2024-05-13,Clothing,Loyal,4551,10
2024-02-23,Clothing,Returning,4386,15
2024-04-15,Beauty,Loyal,3838,13
2024-01-04,Beauty,New,2569,9
2024-02-23,Beauty,Loyal,4895,9
2024-05-25,Groceries,Loyal,656,15
2024-02-13,Beauty,Loyal,925,10
2024-06-10,Electronics,Loyal,2908,10
2024-01-14,Furniture,Returning,4621,8
2024-04-04,Electronics,New,2819,16
2024-02-17,Electronics,Loyal,3608,17
2024-01-15,Beauty,Returning,3841,5
2024-02-09,Furniture,New,1674,4
2024-03-22,Furniture,New,4098,18
2024-04-20,Furniture,New,2229,19
2024-02-22,Groceries,New,2503,4
2024-01-24,Beauty,Loyal,3429,7
2024-06-02,Furniture,Loyal,688,10
2024-05-03,Groceries,Returning,2112,18
2024-02-10,Clothing,Returning,1647,19
2024-06-05,Clothing,Returning,394,4
2024-01-15,Groceries,New,2085,10
2024-02-14,Groceries,New,3217,1
2024-03-05,Beauty,Loyal,1790,18
2024-03-29,Beauty,New,1236,5
2024-03-11,Clothing,New,2164,15
2024-01-09,Furniture,New,4555,17
2024-03-28,Clothing,Returning,4895,3
2024-05-08,Furniture,Returning,4643,12
2024-05-15,Furniture,Loyal,4870,2
2024-03-03,Beauty,New,1107,1
2024-05-18,Electronics,New,2614,17
2024-03-21,Electronics,Loyal,3626,16
2024-05-15,Groceries,New,4781,5
2024-06-11,Beauty,New,1347,15
2024-06-11,Furniture,Returning,4002,3
2024-02-02,Electronics,Loyal,1535,7
2024-05-02,Furniture,Loyal,671,11
2024-01-05,Electronics,Loyal,2482,10
2024-02-10,Electronics,Loyal,1345,9
2024-01-28,Electronics,Returning,2184,14
